,Question,Answer,A,B,C,,Explaniation if needed,Category,Sub Category,File Name pulled from,,
3,What antidotal phrase can help reverse the hazardous attitude of impulsivity?,C,Do it quickly to get it over with.,It could happen to me.,"Not so fast, think first.",,,Operations ,ADM,2nd rnd practice test,Weather and Weather Sources,Density altitude & performance
3,"What are characteristics of a moist, unstable air mass?",A,Turbulence and showery precipitation.,Poor visibility and smooth air.,Haze and smoke.,,,Weather,"effects on performance, atmosheric stability","new 60 questions test prep, 2nd rnd practice test",,
3,What are the characteristics of stable air?,B,Poor visibility and intermittent precipitation,Poor visibility and steady precipitation,Good visibility and steady precipitation,,,Weather,"effects on performance, atmosheric stability",new 60 questions test prep,Weather and Weather Sources,General weather concepts
3,What cloud type signals thunderstorms and severe turbulence?,C,Stratus.,Cirrus.,Cumulonimbus.,,,weather,"effects on performance, thunderstorms",more drone prep questions,Weather and Weather Sources,General weather concepts
3,What conditions are necessary for the formation of thunderstorms?,B,"High humidity, high Temperatures and cumulus clouds","High humidity, lifting force and unstable conditions","Lifting force, moist air and extensive cloud cover",,,Weather,"effects on performance, thunderstorms",more drone prep questions,Weather and Weather Sources,Density altitude & performance
3,What distinguishes a towered airport from a non-towered airport?,C,It has a longer runway,It is only used by commercial aircraft,It has an operating control tower,,,Operations,,Part 1 Test -Key DE,Operations,Airport operations and traffic patterns
3,What effect does high density altitude have on the efficiency of a UA propeller?,B,Propeller efficiency is increased.,Propeller efficiency is decreased.,Density altitude does not affect propeller efficiency.,,,weather,"effects on performance, atmosheric stability","2nd rnd Practice test, Part 1 Test -Key DE",Operations,General operations
3,What frequency is used at non-towered airports for pilots to announce their intentions?,B,ATIS,CTAF,UNICOM,,,Operations,Radio Communications,Part 1 Test -Key DE,Weather and Weather Sources,TAF interpretation
3,What happens when using off-center viewing at night?,A,Objects may fade or disappear if viewed longer than a few seconds.,Peripheral vision becomes less effective requiring direct fixation.,Depth perception improves compared to daytime flying.,,,Operations,Physiological factors,more drone prep questions,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,What is a temperature inversion?,A,Cold air trapped near the surface under warmer air,Warm air trapped near the surface under cooler air,A rapid drop in temperature with altitude,,,Weather,"effects on performance, temp inversion",,Weather and Weather Sources,Density altitude & performance
3,What is the effect of humidity on air density?,B,Increased humidity increases air density.,Increased humidity decreases air density.,Humidity has no effect on air density.,,,Weather,"effects on performance, air density",,Operations,General operations
3,"What is the relationship of lift, drag, thrust, and weight when the airplane is in straight-and-level flight?",A,Lift equals weight and thrust equals drag.,"Lift, drag, and weight equal thrust.",Lift and weight equal thrust and drag.,,,Loading & Performance,loading and performance,new 60 questions test prep,Operations,General operations
3,"What must a person, who is manipulating the controls of a small unmanned aircraft, do if the standard remote identification fails during a flight?",A,Land the aircraft as soon as practicable,Notify the nearest FAA Air Traffic facility,Activate the aircraft's navigation lights,,,Regulations,Remote ID,new 60 questions test prep,Operations,General operations
3,What precautions should a remote PIC do to prevent possible inflight emergencies when using lithium-based batteries?,B,Store the batteries in a freezer to allow proper recharging.,Follow the manufacturer's recommendations for safe battery handling.,Allow the battery to charge until it reaches a minimum temperature of 100 degrees C.,,,Operations ,"Operations, Maintenance and Procedures",2nd rnd practice test,Operations,General operations
3,What type of front often brings thunderstorms and gusty winds?,C,Stationary front,Warm front,Cold Front,,,Weather,"effects on performance, humidity",,Weather and Weather Sources,Fog formation
3,What type of report provides real-time weather observations?,B,TAF.,METAR.,SIGMET.,,,weather,"Sources, Metar",more drone prep questions,Weather and Weather Sources,General weather concepts
3,What would decrease the stability of an air mass?,B,Cooling from below,Warming from below,Decrease in water Vapor,,,Weather,"effects on performance, atmosheric stability",more drone prep questions,Weather and Weather Sources,Cloud types and hazards
3,"When a control tower located on an airport within Class D airspace ceases operation for the day, what happens to the airspace designation?",A,The airspace reverts to Class E or a combination of Class E and G airspace.,The airspace stays Class D as long as there’s a weather observer or automated weather system.,The airspace normally won’t change.,,,Airports & Airspace,Airport Classificatons,more drone prep questions,Operations,General operations
3,When a remote pilot-in-command and a visual observer define their roles and responsibilities prior to and during the operation of a small UA is a good use of,A,Crew Resource Management.,Authoritarian Resource Management.,Single Pilot Resource Management.,,,Operations ,CRM,"2nd Rnd Test Prep, new 60 questions test prep,  ",Operations,General operations
3,"When adapting crew resource management (CRM) concepts to the operation of a small UA, CRM must be integrated into",A,all phases of the operation.,the communications only.,the flight portion only.,,,Operations ,"ADM, CRM",new 60 questions test prep,Aircraft Loading and Performance,"Weight, balance, and performance"
3,"When conducting operations during civil twilight or at night, the small unmanned aircraft must be equipped with anti-collision lights that are capable of being visible for at least:",C,1 statute mile (sm) from the control station.,5 statute miles (sm) from the control station.,3 statute miles (sm) from the control station.,,,Regulations,"Operating Rules, Twilight",new 60 questions test prep,Operations,General operations
3,When does a Remote Pilot in Command operating at night have the discretion to reduce the intensity of the anti-collision lighting?,C,Only at the start of a night operation.,Never.,In the interest of operational safety.,,,Regulations,Flying at Night,new 60 questions test prep,Regulations,Part 107 regulations and compliance
3,"When loading cameras or other equipment on a small UAS, mount the items in a manner that",C,can be easily removed without the use of tools.,is visible to the visual observer or other crewmembers.,does not adversely affect the center of gravity.,,,Loading & Performance,loading and performance,2nd rnd practice test,Operations,General operations
3,"When operating an unmanned airplane, the remote pilot should consider that the load factor on the wings may be increased any time",A,the airplane is subjected to maneuvers other than straight-and-level flight.,the gross weight is reduced.,the CG is shifted rearward to the aft CG limit.,,,Loading & Performance,loading and performance,,,
3,"When preparing for a night flight, what should an sUAS pilot be aware of after assembling and conducting a preflight of an aircraft while using a bright flashlight or work light?",B,"Once adapted to darkness, a person's eyes are relatively immune to bright lights",It takes approximately 30 minutes for a person's eyes to fully adapt to darkness,The person should use a flashlight equipped with LED lights to facilitate their night vision,,,Operations ,"Night operations, ADM",2nd rnd practice test,Aircraft Loading and Performance,"Weight, balance, and performance"
3,"When requesting a waiver, the required documents should be presented to the FAA at least how many calendar days prior to the planned operation?",A,90 days.,10 days.,30 days.,,,Regulations,Waivers,"new 60 questions test prep, Part 1 test key - DE",Operations,General operations
3,"When using a small unmanned aircraft in a non-recreational operation, who is responsible for informing the participants about emergency procedures?",C,The lead visual observer.,The FAA Inspector-in-Charge.,The Remote Pilot in Command.,,,Operations ,"Crew management, emergency procedures",2nd rnd practice test,Operations,General operations
3,Where must a small unmanned aircraft's serial number be listed when using either standard remote identification or a broadcast module?,C,The aircraft's Document of Compliance,The manufacturer's Method of Compliance,The Certificate of Aircraft Registration,,,Regulations,,,,
3,Which airspace types require authorization before flying under Part 107?,A,"Class B, C, D, and Class E surface areas.","Class B, C, and D only.",Class E above 700 ft and Class G.,,,Airports & Airspace,Airport Classificatons,more drone prep questions,Weather and Weather Sources,Cloud types and hazards
3,Which best describes a declaration of compliance?,C,A document issued by the FAA stating an aircraft is airworthy.,A document approved by the FAA that details testing methods for Remote ID or OOP.,A document submitted to the FAA stating that a drone complies with Remote ID or OOP.,,,Regulations,"Waivers, DOC",more drone prep questions,Operations,General operations
3,Which combination of atmospheric conditions will reduce aircraft takeoff and climb performance?,C,"Low temperature, low relative humidity, and low density altitude.","High temperature, low relative humidity, and low density altitude.","High temperature, high relative humidity, and high density altitude.",,,weather,"effects on performance, atmosheric stability",Part 1 Test -Key DE,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,Which is NOT prohibited when operating under Part 107?,A,Operating after taking a prescription medication that does not impair judgment.,Operating with a BAC of 0.04% or greater.,Operating within 8 hours of alcohol consumption.,,,Regulations,"Operational Rules,Medication",more drone prep questions,Weather and Weather Sources,General weather concepts
3,Which is true regarding the presence of alcohol within the human body?,B,Consuming an equal amount of water will increase the destruction of alcohol and alleviate a hangover.,Judgment and decision-making abilities can be adversely affected by even small amounts of alcohol.,A small amount of alcohol increases vision acuity.,,,Regulations,"Operational Rules, Alcohol","2nd Rnd Practice Test, Part 1 Test -Key DE, new 60 questions test prep",Regulations,Part 107 regulations and compliance
3,Which of the following operations require adherence to 14 CFR 107?,C,Operations conducted outside the United States.,Flying a sUAS for enjoyment with family and friends.,Operating an sUAS for compensation.,,,Regulations,Applicability,Part 1 Test -Key DE,Operations,General operations
3,Which of the following statements is TRUE about small unmanned aircraft registration with the FAA before operation in the National Airspace System (NAS)?,B,Small unmanned aircraft do not require registration.,All small unmanned aircraft operating under part 107 must be registered.,Only unmanned aircraft that weigh 55 pounds or more must be registered.,,,Regulations,Overview,"2nd Rnd Test Prep, new 60 questions test prep, Part 1 test key - DE, ",Weather and Weather Sources,General weather concepts
3,Which of the following statements is TRUE about small unmanned aircraft registration with the FAA before operation in the National Airspace System (NAS)?,B,Small unmanned aircraft do not require registration.,All small unmanned aircraft operating under part 107 must be registered.,Only unmanned aircraft that weigh 55 pounds or more must be registered.,,,Regulations,Overview,"2nd Rnd Test Prep, new 60 questions test prep, Part 1 test key - DE, ",Weather and Weather Sources,General weather concepts
3,Which of the following statements is TRUE about small unmanned aircraft registration with the FAA before operation in the National Airspace System (NAS)?,B,Small unmanned aircraft do not require registration.,All small unmanned aircraft operating under part 107 must be registered.,Only unmanned aircraft that weigh 55 pounds or more must be registered.,,,Regulations,Overview,"2nd Rnd Test Prep, new 60 questions test prep, Part 1 test key - DE, ",Weather and Weather Sources,General weather concepts
3,Which of the following types of operations are excluded from the requirements in part 107?,C,Quadcopter capturing aerial imagery for crop monitoring.,UAS used for motion picture filming.,Recreational use of sUAS for the operator's enjoyment.,,,Regulations,Applicability,"2nd Rnd Practice Test, Part 1 Test - Key - DE",Operations,General operations
3,Which statement about visual observers under Part 107 is true?,B,A VO relieves the RPIC from maintaining visual line of sight.,A VO enhances situational awareness but RPIC must still maintain VLOS.,A VO may extend range beyond RPIC visual line of sight.,,,Operations,Crew Resource Management,more drone prep questions,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,Which technique should a remote pilot use to scan for traffic? A remote pilot should,C,concentrate on relative movement detected in the peripheral vision area.,continuously scan the sky from right to left.,systematically focus on different segments of the sky for short intervals.,,,Operations ,ADM,"new 60 questions test prep, Part 1 test key - DE",,
3,Which tool provides an aviation-specific forecast?,B,METAR.,TAF.,PIREP.,,,weather,"Sources, TAF",more drone prep questions,Weather and Weather Sources,Cloud types and hazards
3,Which weather condition is most hazardous for drones?,C,Fog.,Crosswinds.,Thunderstorms.,,,weather,"effects on performance, thunderstorms",more drone prep questions,Weather and Weather Sources,General weather concepts
3,Which weather reports provide real-time observations?,A,METAR,TAF,SIGMET,,,Weather,"Sources, Metar",more drone prep questions,Weather and Weather Sources,General weather concepts
3,"While conducting an aerial survey of a Class D airport, ATC instructs you to remain clear of all runways. How do you identify when you are clear?",C,By following the solid yellow taxi stripe.,By being on the dashed-line side of the hold short markings.,By being on the side of the hold short markings with two solid yellow lines.,,,Airports & Airspace,"Airspace Classifications, Operating Rules",more drone prep questions,Regulations,Part 107 regulations and compliance
3,"While operating a small unmanned aircraft system (sUAS), you experience a flyaway and several people suffer injuries. Which of the following injuries requires reporting to the FAA?",A,An injury requiring hospitalization.,Scrapes and cuts bandaged on site.,Minor bruises.,,,Regulations,Operating Rules,,,
3,"While operating around buildings, the Remote Pilot in Command should be aware of the creation of wind gusts that",C,enhance stability and imagery.,increase performance of the aircraft.,change rapidly in direction and speed causing turbulence.,,,Weather,"effects on performance, wind",Part 1 Test -Key DE,Operations,General operations
3,"While operating your small UA, it accidentally strikes your crewmember in the head causing him to lose consciousness. When should this accident be reported?",C,No accidents need to be reported.,When requested by the UA owner.,Within 10 days of the accident.,,,Regulations,"Operational Rules, Accident",new 60 questions test prep,Operations,Aeronautical decision-making and risk management
3,Why is frost considered hazardous to flight?,C,"Frost changes the basic aerodynamic shape of the airfoils, thereby increasing lift.","Frost slows the airflow over the airfoils, thereby increasing control effectiveness.","Frost spoils the smooth flow of air over the wings, thereby decreasing lifting capability.",,,weather,Frost,new 60 questions test prep,Weather and Weather Sources,General weather concepts
3,Within how many calendar days must a small UAS accident be reported to the FAA?,A,10 days.,90 days.,30 days.,,,Regulations,,,,
3,"You are a remote pilot for a co-op energy service provider. You are to use your UA to inspect power lines in a remote area 15 hours away from your home office. After the drive, fatigue impacts your abilities to complete your assignment on time. Fatigue can be recognized",A,as being in an impaired state.,easily by an experienced pilot.,by an ability to overcome sleep deprivation.,,,Operations,ADM,new 60 questions test prep,Operations,General operations
3,"You have been hired as a Remote Pilot in Command by a local TV news station to film breaking news with a small unmanned aircraft. You expressed a safety concern and the station manager has instructed you to ""hurry up and get it done."" What type of hazardous attitude does this attitude represent?",A,Impulsivity.,Machoism.,Invulnerability.,,,Operations ,ADM,"new 60 questions test prep, Part 1 test key - DE",Operations,Airport operations and traffic patterns
3,You have received an outlook briefing from flight service through 1800wxbrief.com. The briefing indicates you can expect a low-level temperature inversion with high relative humidity. What weather conditions would you expect?,C,"Light wind shear, poor visibility, haze, and light rain.","Turbulent air, poor visibility, fog, low stratus type clouds, and showery precipitation.","Smooth air, poor visibility, fog, haze, or low clouds.",,,weather,Temperature Inversion,"Part 1 Test -Key DE, new 60 questions test prep, 2nd Rnd Test Prep",Operations,General operations
3,You plan to release golf balls from your small UA at an altitude of 100 feet AGL. You must ensure the objects being dropped will,A,not create an undue hazard to persons or property.,land within 10 feet of the expected landing zone.,not cause property damage in excess of $300.,,,Regulations,Operational Rules,"2nd Rnd Test Prep, new 60 questions test prep",Operations,General operations
3,You’re flying near mountains and there are lenticular clouds. What kind of weather should you expect?,C,Snow showers.,Smooth air.,High winds and turbulence.,,,Weather,"effects on performance, obstructions, clouds",more drone prep questions,Operations,General operations
3,You're flying a mission and you need to hand over the controls to another certified remote pilot. What must occur?,B,Nothing. Control can be transferred freely.,A clear transfer of control must be established.,The drone must land first.,,,Operations,Crew Resource Management,Part 1 Test -Key DE,Operations,General operations
3,You're flying near an aircraft broadcasting ADS-B Out signals. What is required of your drone?,B,Your drone must also broadcast ADS-B Out.,You must avoid interference with ADS-B signals.,You must land immediately.,,,Operations,,Part 1 Test -Key DE,Operations,General operations
3,You're planning to fly a fixed-wing unmanned aircraft from a high mountain plateau on a hot summer day. What should you consider?,C,Propeller efficiency decreases but wing lift increases.,Propeller efficiency increases and wings generate more lift.,Propeller efficiency decreases and wings generate less lift.,,,Weather,"effects on performance, mountain",more drone prep questions,Operations,General operations
,,,,,,,,,,,,
1,The two types of clouds that unmanned aircraft operators should be concerned about are:,C,Standing lenticular and stratocumulus,Nimbostratus and cumulonimbus,Cumulonimbus and standing lenticular,,,Weather,"effects on performance, clouds",Weather Part 2 MC- Key,Weather and Weather Sources,General weather concepts
2,"(Refer to FAA-CT-8080-2H, Figure 22, South of Area 1) You have been hired to inspect the railroad near Cocolalla. Do you need ATC approval?",A,"Yes, it is in Class E Airspace from the surface","No, it is Class G Airspace","No, it is in Class E Airspace from 700 feet",,,Airports & Airspace,Controlled vs Non controlled Airspace,Additional Airspace Maps - Key,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
1,"(Refer to FAA-CT-8080-2H, figure 24, Northeast of area 1) What is the ceiling of Class D Airspace surrounding Majors (GVT) airport?",A,"3,000 feet MSL","3,000 feet AGL","1,200 feet AGL",,,Airports & Airspace,Class D,Additional Airspace Maps - Key,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
2,What happens to the stalling speed of an aircraft as the load factor increases?,C,The stalling speed decreases.,The stalling speed remains constant.,The stalling speed increases.,,,Loading & Performance,loading and performance,Additional topics mc1- key,Operations,Aeronautical decision-making and risk management
1,What is the primary concern for an RPIC when loading a payload onto an aircraft?,B,Ensuring the payload is securely attached.,Verifying the weight and balance of the aircraft.,Confirming the payload does not exceed the aircraft's maximum takeoff weight.,,,Loading & Performance,loading and performance,Additional topics mc1- key,Aircraft Loading and Performance,"Weight, balance, and performance"
2,What is the primary factor that determines the load factor experienced by an aircraft during a turn?,A,The aircraft's weight and the angle of the turn.,The aircraft's speed and the altitude.,The aircraft's engine power and the wind conditions.,,,Loading & Performance,loading and performance,Additional topics mc1- key,Operations,Airport operations and traffic patterns
1,What is the relationship between the load factor and the stalling speed of an aircraft?,C,The stalling speed decreases as the load factor increases.,The stalling speed remains constant regardless of the load factor.,The stalling speed increases as the load factor increases.,,,Loading & Performance,loading and performance,Additional topics mc1- key,Operations,Airport operations and traffic patterns
2,"With a low-level temperature inversion with high relative humidity, what weather conditions would you expect?",A,"Smooth air, poor visibility, fog, haze, or low clouds","Turbulent air, poor visibility, fog, low stratus type clouds, and showery precipitation","Light wind shear, poor visibility, haze, and light rain",,,Weather,"effects on performance, humidity",Additional topics mc1- key,Weather and Weather Sources,General weather concepts
2,"Before flying in a military operations area, an sUAS operator should do what to find out if it is active?",B,Call your local military base,Refer to the sectional chart legend,Call the nearest FAA office,,,Airports & Airspace,"airspace classifications, MOA",Airports & Airspace Test - key,Operations,General operations
2,How often are sectional charts covering the continental U.S. updated?,C,Monthly,Quarterly,Semi-annually,,,Airports & Airspace,Aeronautical Charts,Airports & Airspace Test - key,Operations,General operations
2,"Refer to FAA-CT-8080-2H, Figure 75 area 6. During preflight planning you plan to operate in R-2305, where would you find additional info regarding this airspace?",B,In the special Use Airspace of the chart.,,,,,Airports & Airspace,"airspace classifications, Restricted areas",Airports & Airspace Test - key,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
1,Which of the following is not a source of airport data?,C,Chart Supplement U.S.,Aeronautical charts,Airport newsletter,,,Airports & Airspace, Airports data sources,Airports & Airspace Test - key,Operations,Airport operations and traffic patterns
2,"When near a non-towered airport, an sUAS operator should monitor what frequency?",C,CT,ATIS,CTAF,,,Operations ,Radio Communications Procedures,Airports & Airspace Test - key,Operations,Airport operations and traffic patterns
2,An aircraft announces they are on the short final of a RWY 36. Where is the aircraft in relation to the airport?,A,South,West,North,,,Airports & Airspace,general,airspace Patterns Ws key chat,Weather and Weather Sources,TAF interpretation
2,"(Refer to FAA-CT-8080-2G, Figure 23) What’s the lower altitude limit of Class E airspace at Statesboro Bulloch County Airport (TBR)?",A,887 ft. MSL,700 ft. MSL,"1,200 ft. MSL",,,Airports & Airspace,Controlled vs Non controlled Airspace,Extra 2 Questions,Regulations,Part 107 regulations and compliance
2,A stable air mass is most likely to have which characteristic,C,Showery precipitation,Turbulent Air,Poor surface visibility,,,Weather,"effects on performance, atmosheric stability",,Operations,General operations
2,How far in advance should waiver applications be submitted?,A,90 days,30 days,60 days,,,Regulations,Waivers,Regulations test - key 27 questions,Operations,General operations
2,"Under Part 107, which of the following is permitted when transporting property for compensation or hire?",C,Flying across state lines,Flying over open-air assemblies,Conducting operations wholly within a single state,,,Regulations,"Operational Rules, Transportation of property",Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
2,What is the maximum allowable groundspeed for sUAS?,A,87 knots,100 knots,,87 mph,,Regulations,Operational Rules,Regulations test - key 27 questions,Operations,General operations
1,"(Refer to Figure 15,  FAA-CT-8080-2H) According to the TAF, what type of weather is expected from 1220Z to 1222Z?",A,Thunderstorms with rain and overcast conditions,Snow showers with overcast conditions,Light rain with scattered clouds,,,Weather,"sources, TAF",TAF Quiz- key,,
2,"(Refer to figure 15,  FAA-CT-8080-2H)  What does ""BECMG 0522/0524 20013G20KT"" indicate?",A,A gradual change occurring between 0522Z and 0524Z.,A temporary change lasting between 0522Z and 0524Z.,A wind shift to 220° at 20 knots occurring at 0522Z.,,"""BECMG"" signifies a gradual change expected during the specified time period.",Weather,"sources, TAF",TAF2 and KEY,,
2,"(Refer to figure 15,  FAA-CT-8080-2H)  What does ""P6SM SCT040"" mean in the forecast starting at 0608Z?",B,"Visibility less than 6 statute miles with scattered clouds at 4,000 feet.","Visibility greater than 6 statute miles with scattered clouds at 4,000 feet.","No significant weather with overcast skies at 4,000 feet.",,"""P6SM"" means visibility is greater than 6 statute miles, and ""SCT040"" indicates scattered clouds at 4,000 feet.",Weather,"sources, TAF",TAF2 and KEY,,
1,"During a survey flight, you realize that your drone is flying over a crowd of people or bystanders for a few seconds. What is your immediate responsibility?",B,Continue with the flight briefly since the exposure is minimal.,Move the drone immediately to a safe location away from the crowd.,Slowly descend over the crowd.,,,Regulations,Operational rules,tricky questions,Weather and Weather Sources,Cloud types and hazards
1,"While conducting a drone inspection near an industrial facility, you observe a smoke stack flume that is rapidly rising, breaking apart, and swirling in multiple directions shortly after exiting the stack. What type of condition is most likely present?",B,Stable air with calm wind conditions.,Unstable air with possible turbulence.,No wind condition or smooth flow.,,,weather,effects on Performance,tricky questions,Operations,General operations
1,"While flying your aerial survey, you notice a TFR over a stadium due to a major sporting event and your flight path intersects it. What must you do?",B,Fly under the TFR if you remain below 400 ft.,Avoid the TFR completely.,Request permission after takeoff.,,,Airports & Airspace,"Airspace Classifications, Operating Rules",tricky questions,Operations,Airport operations and traffic patterns
2,You are conducting an inspection of a communication tower that rises 550 ft AGL. You fly directly next to it and climb to 750 ft AGL within 200 ft horizontally. Is this operation compliant with Part 107?,B,"No, because a drone may never exceed 450 ft AGL.","Yes, because you are within 400 ft of the structure and allowed to exceed 400 ft AGL.","No, because you must stay below the height of the structure.",,,Regulations,Operational Rules,tricky questions,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
2,You are currently at 350 ft AGL. The clouds appear to be at 500 ft AGL. Visibility is good. What must you do to comply with Part 107 rules?,B,Continue flight since you are below the clouds.,Maintain at least 500 ft below the clouds even if descending is required.,Maintain 500 ft horizontal distance from clouds only.,,,Regulations,Operational Rules,tricky questions,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
1,You are monitoring your drone exclusively through the onboard camera feed. Is this compliant with Part 107?,B,"Yes, the screen can replace direct visual line of sight.","No, visual line of sight must be maintained unaided.","Yes, if a visual observer is present.",,,Regulations,Operational Rules,tricky questions,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
1,You are using a drone that does not have built-in Remote ID capabilities. What must you do to comply with regulations?,B,Nothing. Built-in Remote ID is optional.,Attach an FAA-compliant broadcast module before flight.,File for a waiver each time you fly.,,,Regulations,Remote ID,tricky questions,Regulations,Part 107 regulations and compliance
1,"You have been under persistent work-related stress for several months, which is starting to affect your focus during drone operations. What type of stress is this?",B,Acute stress.,Chronic stress.,Temporary fatigue.,,,Operations,Physiological factors,tricky questions,Regulations,Part 107 regulations and compliance
2,You want to fly a drone near a regional airport where the sectional chart shows Class E airspace starting at the surface at 300 ft AGL. What is required?,A,Authorization from ATC prior to flight.,Nothing. You can fly freely in Class E airspace at 300 ft AGL.,A waiver only if flying at night.,,,Airports & Airspace,Airspace Classifications,tricky questions,Weather and Weather Sources,Cloud types and hazards
1,You're conducting a night flight with a visual observer (VO). Which of the following is required for a safe operation?,C,The VO may maintain visual line of sight with the drone using binoculars.,The VO may monitor the drone only on screen if they cannot see it directly.,The VO must maintain unaided visual line of sight with the drone at all times.,,,Regulations,Flying at Night,tricky questions,Operations,General operations
1,You're flying your drone near an airport and you notice a manned aircraft approaching your area at a lower altitude than expected. What should you do?,B,Maintain altitude and continue your mission.,Descend immediately and yield the right of way.,Increase altitude to avoid the conflict.,,,Regulations,Operational Rules,tricky questions,Operations,General operations
1,You're planning a flight in a rural area. The sectional chart shows Class G airspace at the surface. What must you do before flying?,B,Request ATC authorization.,Nothing. Authorization is not required.,File a flight plan.,,,Airports & Airspace,Airspace Classifications,tricky questions,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
2,"A remote pilot plans to operate a small UAS from a high-elevation airport on a hot, humid afternoon. What should the pilot expect?",C,Improved aircraft performance due to warm air,No change in performance since humidity has little effect,Reduced aircraft performance due to high density altitude,Increased lift due to moist air,,weather,"effects on performance, air density alt, pressure",Weather density pressure - key,Operations,General operations
2,An increase in atmospheric pressure will result in:,A,Increased air density and increased performance,Decreased air density and decreased performance,Increased humidity and decreased lift,Decreased temperature and increased drag,,weather,"effects on performance, air density alt, pressure",Weather density pressure - key,Weather and Weather Sources,Density altitude & performance
2,"An increase in humidity, with all other factors constant, will cause density altitude to:",C,Decrease,Remain unchanged,Increase,Equal pressure altitude,,weather,"effects on performance, air density alt, pressure",Weather density pressure - key,Operations,Aeronautical decision-making and risk management
2,"As density altitude increases, what happens to UAS performance?",C,Performance increases,Performance remains the same,Performance decreases,Only endurance is affected,,weather,"effects on performance, Density Altititude",Weather density pressure - key,Weather and Weather Sources,Density altitude & performance
2,"As humidity increases, air density decreases.",A,True,False,,,,Weather,"effects on performance, humidity",Weather density pressure - key,Weather and Weather Sources,Cloud types and hazards
2,"If the actual temperature is higher than standard at a given airport, what is the effect on density altitude?",C,Density altitude decreases,Density altitude remains unchanged,Density altitude increases,Density altitude equals pressure altitude,,weather,"effets on performance, air density alt, pressure",Weather density pressure - key,Weather and Weather Sources,General weather concepts
2,What happens to air pressure and air density as altitude increases?,C,Pressure increases and density increases,Pressure increases and density decreases,Pressure decreases and density decreases,Pressure decreases and density increases,,weather,"effects on performance, density altitude",Weather density pressure - key,,
2,What is the standard sea-level atmospheric pressure according to the ISA?,B,30.00 inHg or 1015 mb,29.92 inHg or 1013.2 mb,28.92 inHg or 1000 mb,31.00 inHg or 1020 mb,,weather,effects on performance,Weather density pressure - key,,
2,What is the standard temperature at sea level?,A,15°C or 59°F,29.92°C,1013.2°F,,,Weather,"effects on performance, standard temp",Weather density pressure - key,Operations,General operations
2,Which condition generally results in the best aircraft performance?,D,Low air density,"Warm, humid air",Thin air at high altitude,High air density,,weather,effects on performance,Weather density pressure - key,Weather and Weather Sources,Density altitude & performance
2,The leeward side of a mountain or obstacle is:,A,The downwind side,The side the wind contacts first,The side you are standing on,,,Weather,"effects on performance, mountain",Weather MC Test - Key ,Weather and Weather Sources,General weather concepts
1,"When flying near natural or man-made obstructions, an unmanned aircraft operator can expect:",C,Turbulence,Changes in wind direction & wind speed,All the above,,,Weather,"effects on performance, obstructions",Weather MC Test - Key ,Operations,General operations
1,What environment is most conductive to front formulation?,B,"Surface temperature is below freezing, air temperature is below freezing","Dewpoint of surface is below freezing, dewpoint is above freezing","Surface temperature is above freezing, air temperature is below freezing",,,Weather,"effects on performance, front",,Weather and Weather Sources,Density altitude & performance
2,What is the effect of a high-density altitude on aircraft performance?,C,It increases aircraft performance.,It has no effect on aircraft performance.,It decreases aircraft performance.,,,Weather,"effects on performance, high density altititude",,Operations,General operations
,,,,,,,,,,,,
1,Why is it unsafe to fly an unmanned aircraft at or near its maximum takeoff weight?,B,It increases GPS error,It reduces available safety margins once airborne,It causes battery malfunction,It increases propeller RPM too much,,Loading & Performance,loading and performance,loading and performance WS Key,,
1,"For commercial off‑the‑shelf aircraft with fixed, manufacturer‑approved payloads, which loading action is typically not required prior to flight?",B,Verifying payload security,Verifying balance position,Checking center of gravity,Checking manufacturer‑approved payload positioning,,Loading & Performance,loading and performance,loading and performance WS Key,,
2,Which of the following reduces air density and therefore reduces maximum takeoff weight?,C,Cold temperatures,Low humidity,High elevation,Low altitude,,Loading & Performance,loading and performance,loading and performance WS Key,,
1,Which two components are the primary considerations for aircraft balance?,B,Lift and drag,Center of gravity and center of pressure,Propeller thrust and battery voltage,Attitude and heading,,Loading & Performance,loading and performance,loading and performance WS Key,,
,,,,,,,,,,,,
1,Where must a small unmanned aircraft’s serial number be listed when using either standard remote identification or a broadcast module?,C,The aircraft’s Document of Compliance.,The manufacturer’s Method of Compliance.,The Certificate of Aircraft Registration.,,,Regulations,Registration,My new questions May9,,
1,What does the IMSAFE checklist help an RPIC to assess before a flight?,B,The weather conditions at the flight location.,The pilot's physical and mental readiness for the job.,The aircraft's maintenance and safety records.,,,Operations,IMSAFE,My new questions May9,,
