row,disposition,unit_ref,category,sub_category,note,question
235,imported,u3,Airports & Airspace,Class D,,"(Refer to FAA-CT-8080-2H, Figure 69, South of Area 1) Do you need authorization inside blue dashed lines at Corpus Christi?"
236,imported,u3,Airports & Airspace,Class E,,"(Refer to FAA-CT-8080-2H, Figure 23 South of Area 4) What is the lower altitude limit of Class E at Statesboro Bulloch County Airport?"
237,imported,u9,Operations,Risk Management,,What methodology prevents final link in accident chain?
239,imported,u1,Regulations,Applicability,,Which operation is NOT subject to Part 107?
240,imported,u1,Regulations,Aircraft Registration,,Nonrecreational drones must be registered under which regulation?
241,imported,u1,Regulations,Night Operations,,Anticollision lights used for night operations must be visible for at least:
243,skipped_marker,,,,,REGULATIONS END OF EACH SECTION Questions
244,imported,u1,Regulations,Applicability,,Part 107 primarily governs which type of sUAS operations?
245,imported,u1,Regulations,Remote ID,,Which operation originally required a waiver under early Part 107 rules?
246,imported,u1,Regulations,Applicability,,What credential is required to fly under Part 107 without special exemptions?
247,skipped_duplicate,,Regulations,Applicability,first seen at row 239,Which operation is NOT subject to Part 107?
248,imported,u1,Regulations,RPIC,,Which role has final authority and responsibility for a Part 107 operation?
249,imported,u1,Regulations,RPIC,,"Under Part 107, who is ultimately responsible for the safety of the flight?"
250,imported,u1,Regulations,RPIC,,Which action is required before each flight under Part 107?
251,imported,u1,Regulations,Person Manipulating Controls,,The person manipulating the flight controls must be:
252,imported,u1,Regulations,Visual Observer,,Which statement about Visual Observers is correct?
253,imported,u1,Regulations,PreFlight Familiarization & Airport Operations,,Which factor must the RPIC assess before flight?
254,imported,u1,Regulations,Flight Crew Management & Communication,,"If a sUAS goes out of VLOS for more than 15 seconds, the RPIC should:"
255,skipped_duplicate,,Regulations,Applicability,first seen at row 240,Nonrecreational drones must be registered under which regulation?
256,imported,u1,Regulations,Registration Inspection & Falsification,,"Upon request, the RPIC must present which document?"
257,imported,u1,Regulations,Accident Reporting & Hazardous,,When must a sUAS accident be reported to the FAA?
258,imported,u1,Regulations,Accident Reporting & Hazardous,,"During an inflight emergency, the RPIC may:"
259,imported,u1,Regulations,Accident Reporting & Hazardous,,Which action is considered reckless under Part 107?
260,imported,u1,Regulations,Medical Condition,,A medical certificate is required to fly under Part 107:
261,imported,u1,Regulations,Operation drom Moving Vehicles & Transportation of Property,,You may operate a sUAS from a moving land vehicle when:
262,imported,u1,Regulations,Medical Conditions Drugs and Alcohol,,What blood alcohol concentration (BAC) level disqualifies participation in a sUAS operation?
263,skipped_duplicate,,Regulations,Night Eligibility Civil Twilight & Lighting,first seen at row 241,Anticollision lights used for night operations must be visible for at least:
264,imported,u1,Regulations,Night Flight Hazards & Mitigation,,Visual Line of Sight requires the UA to be seen:
265,imported,u1,Regulations,VLOS & Multiple Aircraft,,How many sUAS may a person operate at one time under Part 107?
266,imported,u1,Regulations,Operations Over People General,,You may fly over a person who is:
267,imported,u1,Regulations,Autonomous Flight,,"During autonomous flight, who is responsible for the operation?"
268,imported,u1,Regulations,PreFlight Familiarization & Airport Operations,,"Operations in Class B, C, D, or surface Class E airspace require:"
269,imported,u1,Regulations,Operating Limitations,,What is the maximum allowable altitude under Part 107?
270,imported,u1,Regulations,Operating Limitations,,Minimum flight visibility required is:
271,imported,u1,Regulations,Waivers,,A Part 107 waiver allows an operator to:
272,imported,u1,Regulations,Slide 83 – Waiver Timing,,Waiver applications should be submitted at least how many days in advance?
273,imported,u1,Regulations,Remote ID,,The purpose of Remote ID is to:
274,imported,u1,Regulations,FRIA & Alternatives,,Which is NOT a Remote ID compliance method?
275,imported,u1,Regulations,FRIA & Alternatives,,FAA-Recognized Identification Areas (FRIAs) allow operations:
276,imported,u1,Regulations,Category 1 & 2,,Category 1 operations over people require the UA to:
277,imported,u1,Regulations,Category 3 & 4,,Which category requires an Airworthiness Certificate under Part 21?
278,imported,u1,Regulations,Night Eligibility Civil Twilight & Lighting,,Night operations without a waiver require:
280,skipped_marker,,,,,Regulations END OF UNIT QUIZ/TEST
281,skipped_duplicate,,Regulations,Waivers,first seen at row 170,How far in advance should waiver applications be submitted?
282,skipped_duplicate,,Regulations,"Operational Rules, Transportation of property",first seen at row 171,"Under Part 107, which of the following is permitted when transporting property for compensation or hire?"
283,imported,u1,Regulations,Roles,,"Under Part 107, who holds final authority over the operation of the sUAS?"
284,imported,u1,Regulations,Operational Rules,,What is the maximum allowable altitude for sUAS flight under Part 107?
285,skipped_duplicate,,Regulations,Operational Rules,first seen at row 172,What is the maximum allowable groundspeed for sUAS?
286,imported,u1,Regulations,Operational Rules,,What is the minimum distance a drone must maintain from clouds?
287,imported,u5,Weather,Operating Rules,,What is the minimum visibility required from the control station?
288,imported,u1,Regulations,Remote ID,,What is the purpose of Remote ID?
289,imported,u1,Regulations,Remote ID,,What must a Remote ID UA do before takeoff?
290,imported,u9,Operations,Preflight Inspection,,What must be done before each flight?
291,imported,u1,Regulations,Operations,,What must be made available upon request by law enforcement during an sUAS operation?
292,imported,u1,Regulations,"Operational Rules, Accident",,What must be reported to the FAA within 10 calendar days?
293,imported,u1,Regulations,Flying over people and moving objects,,Which category of UA may operate over people without a waiver if it weighs less than 0.55 lbs and has no exposed rotating parts?
294,needs_review,,Regulations,Flying over people and moving objects,"answer=D, choices=3",Which category requires an airworthiness certificate under Part 21?
295,imported,u9,Operations,Physiology,,Which of the following is a recommended mitigation strategy for night illusions during sUAS operations?
296,imported,u1,Regulations,Operational Rules,,Which of the following is a required action for the RPIC before flight?
297,imported,u1,Regulations,Flying over people and moving objects,,Which of the following is a requirement for Category 2 UA operations over people?
298,imported,u1,Regulations,"Operational Rules, Transportation of property",,Which of the following is prohibited during sUAS operations under Part 107?
299,imported,u1,Regulations,Operational Rules,,Which of the following is prohibited without prior authorization?
300,imported,u1,Regulations,Remote ID,,Which of the following is true about FAA-Recognized Identification Areas (FRIAs)?
301,imported,u1,Regulations,Flying over people and moving objects,,Which of the following is true for Category 3 UA operations over people?
302,imported,u1,Regulations,Waivers,,Which of the following operations can be waived?
303,imported,u1,Regulations,Applicability,,Which of the following operations is explicitly excluded from Part 107 applicability?
304,imported,u1,Regulations,Roles,,Which of the following statements about Visual Observers (VOs) is correct?
305,imported,u1,Regulations,"Operational Rules, impaired",,Which of the following substances or conditions would disqualify a person from participating in sUAS operations under Part 107?
306,imported,u1,Regulations,Operational Rules,,Which of the following would be considered a careless or reckless operation under Part 107?
307,imported,u1,Regulations,Operations,,Which regulation governs the registration of small unmanned aircraft?
309,skipped_marker,,,,,2 Aiports end of section questions
310,imported,u4,Airports & airspace,Intro To Airports,,What is the primary purpose of the National Airspace System (NAS)?
311,imported,u4,Airports & airspace,Intro To Airports,,What are the two main purposes of the Air Traffic Control (ATC) system?
312,imported,u4,Airports & airspace,Intro To Airports,,What makes integrating sUAS into the NAS complex?
313,imported,u2,Airports & airspace,L& L,,Which method is universally used in aviation to locate points on Earth?
314,imported,u2,Airports & airspace,L& L,,Lines of latitude run
315,imported,u2,Airports & airspace,L& L,,Lines of longitude start at
316,imported,u2,Airports & airspace,L& L,,The continental U.S. lies between which degrees of latitude?
317,imported,u2,Airports & airspace,L& L,,How many minutes are in each degree of latitude or longitude?
318,imported,u4,Airports & airspace,Intro To Airports,,Which of the following is NOT an airport ownership classification?
320,imported,u2,Airports & airspace,Airport Data,,What should sUAS operators be aware of when operating within 5 miles of an airport?
321,imported,u2,Airports & airspace,Airport Data,,Which source contains the most comprehensive airport information?
322,imported,u2,Airports & airspace,Airport Data,,Which of the following is included in the Chart Supplement U.S.?
323,imported,u2,Airports & airspace,Notam,,What is the purpose of NOTAMs?
324,imported,u2,Airports & airspace,Notam,,Where can NOTAMs be found?
325,imported,u2,Airports & airspace,ATIS,,What does ATIS provide?
326,imported,u2,Airports & airspace,ATIS,,How often is ATIS information updated?
327,imported,u2,Airports & airspace,Sectional Charts,,What are the two types of aeronautical charts relevant to sUAS operators?
328,imported,u2,Airports & airspace,L& L,,Convert 46.75° to degrees and minutes.
329,imported,u2,Airports & airspace,L& L,,Convert 98.2° to degrees and minutes.
330,imported,u2,Airports & airspace,Aeronautical Charts,,What is the primary purpose of aeronautical charts?
331,imported,u2,Airports & airspace,Sectional & Terminal Charts,,Which chart type covers the entire U.S. and is revised semi-annually?
332,imported,u2,Airports & airspace,Sectional & Terminal Charts,,What is the scale of a sectional chart?
333,imported,u2,Airports & airspace,Terminal Charts,,Terminal Area Charts are designed to show more detail around which type of airports?
334,imported,u2,Airports & airspace,Terminal Charts,,What is the scale of a Terminal Area Chart?
335,imported,u2,Airports & airspace,Aeronautical Charts,,What should sUAS operators use to interpret chart symbols during planning?
336,imported,u2,Airports & airspace,Aeronautical Charts,,Which tab in the Chart User’s Guide includes airspace and airport information?
337,imported,u2,Airports & airspace,Aeronautical Charts,,What is the benefit of being familiar with chart symbols before the Part 107 test?
338,imported,u2,Airports & airspace,Chart Ledgend supplement & airport data,,What symbol on a sectional chart represents a VFR checkpoint?
339,imported,u2,Airports & airspace,Chart Ledgend supplement & airport data,,What is the purpose of the CTAF frequency listed on a chart?
340,imported,u2,Airports & airspace,Chart Ledgend supplement & airport data,,Why is runway elevation important for sUAS operators?
341,imported,u2,Airports & airspace,Chart Ledgend supplement & airport data,,What does the magenta color of an airport symbol indicate?
342,imported,u2,Airports & airspace,Chart Ledgend supplement & airport data,,What does the blue color of an airport symbol indicate?
343,imported,u2,Airports & airspace,Chart Ledgend supplement & airport data,,What does a communication box on a sectional chart provide?
344,imported,u2,Airports & airspace,Chart Ledgend supplement & airport data,,What does the number in parentheses below an obstacle height indicate?
345,imported,u2,Airports & airspace,MEF,,What is the typical size of a quadrant used for MEF calculations?
346,imported,u2,Airports & airspace,MEF,,What does an MEF value of 35 indicate?
348,skipped_marker,,,,,No Unit Test Until Done all Airport Sections
349,skipped_marker,,,,,SEE BELOW FOR TEST
352,imported,u4,Airports & airspace,towed Airports,,Towered airports have
354,skipped_marker,,,,,Latitude and Longitude End of section Questions
355,imported,u2,Airports & airspace,L& L,,"Refer to figure Longitude and Latitude Points A - D, What are the coordinates of Point A?"
356,imported,u2,Airports & airspace,L& L,,"Refer to figure Longitude and Latitude Points A - D, What are the coordinates of Point B?"
357,imported,u2,Airports & airspace,L& L,,"Refer to figure Longitude and Latitude Points A - D, What are the coordinates of Point C?"
358,imported,u2,Airports & airspace,L& L,,"Refer to figure Longitude and Latitude Points A - D, What are the coordinates of Point D?"
359,imported,u2,Airports & airspace,L& L,,Convert N 49.4517 to degrees and minutes.
360,imported,u2,Airports & airspace,L& L,,Convert W 73.3398 to degrees and minutes.
361,imported,u2,Airports & airspace,L& L,,Convert N 44.5923 to degrees and minutes.
362,imported,u2,Airports & airspace,L& L,,Convert W 82.5976 to degrees and minutes.
364,skipped_marker,,,,,Latitude and Longitude End of section Quiz
365,imported,u2,Airports & airspace,L& L,,(Refer to Figure 1 L & L pic quiz) What is the Latitude and Longitude of Key West Airport
366,imported,u2,Airports & airspace,L& L,,(Refer to Figure 2 L & L pic quiz) Which airport is located at 36° 45’ N and 85° 57’ W
368,skipped_marker,,,,,3 airspace classes 3
369,imported,u3,Airports Classification,Classes,,Class A airspace begins at what altitude?
370,imported,u3,Airports Classification,Classes,,Which operation is required for all aircraft operating in Class A airspace?
371,imported,u3,Airports Classification,Classes,,"Before operating a small UAS in Class B airspace, a remote pilot must:"
372,imported,u3,Airports Classification,Classes,,Class C airspace normally extends from the surface to:
373,imported,u3,Airports Classification,Classes,,Which airspace generally surrounds airports with an operational control tower but lower traffic volume than Class C?
374,imported,u3,Airports Classification,Classes,,A remote pilot operating in Class D airspace must:
375,imported,u3,Airports Classification,Classes,,"On a sectional chart, Class D airspace is depicted by:"
376,imported,u3,Airports Classification,Classes,,A faded magenta vignette around an airport normally indicates Class E airspace beginning at:
377,imported,u3,Airports Classification,Classes,,Federal Airways shown on sectional charts are usually found within:
378,imported,u3,Airports Classification,Classes,,Which Class E airspace requires ATC authorization for drone operations?
379,imported,u3,Airports Classification,Classes,,Dashed magenta lines that do not intersect another airspace area generally indicate:
380,imported,u3,Airports Classification,Classes,,Class G airspace is considered:
381,imported,u3,Airports Classification,Classes,,Prior authorization is generally required before operating in Class G airspace.
382,imported,u3,Airports & Airspace,"Airspace Classifications,",,Which of the following is NOT a consideration of airspace classification?
383,imported,u3,Airports & Airspace,Controlled vs Non controlled Airspace,,You have been hired to inspect a railroad near Cocolalla. (Refer to figure 22 south of area 1) Do you need approval from ATC?
384,skipped_duplicate,,Airports & Airspace,Controlled vs Non controlled Airspace,first seen at row 168,"(Refer to FAA-CT-8080-2G, Figure 23) What’s the lower altitude limit of Class E airspace at Statesboro Bulloch County Airport (TBR)?"
385,skipped_duplicate,,Airports & Airspace,Airspace Classifications,first seen at row 184,You want to fly a drone near a regional airport where the sectional chart shows Class E airspace starting at the surface at 300 ft AGL. What
386,skipped_duplicate,,Airports & Airspace,Airspace Classifications,first seen at row 187,You're planning a flight in a rural area. The sectional chart shows Class G airspace at the surface. What must you do before flying?
387,imported,u3,Airports & Airspace,Airspace Classifications,,Which classes use MSL and AGL?
388,imported,u3,Airports & Airspace,Airspace Classifications,,Which classes use MSL only?
389,imported,u3,Airports & Airspace,Class D,,What class has only one layer and looks like a cylinder?
390,skipped_duplicate,,Airports & Airspace,Class E,first seen at row 231,"Refer to FAA-CT-8080-2H, Figure 80, Montrose Regional starts at what altitude?"
391,skipped_duplicate,,Airports & Airspace,Class E,first seen at row 232,"Refer to FAA-CT-8080-2H, figure 80, Outside dashed magenta lines near Roubideau (Pvt) airport what airspace is from surface up to 700 ft AGL"
392,imported,u3,Airports & Airspace,Class C,,"(Refer to FAA-CT-8080-2H, Figure 69, Area 5) Do you need authorization in the area within the dashed magenta lines that are intersecting Cla"
393,imported,u3,Airports & Airspace,Class E,,"(Refer to FAA-CT-8080-2H, Figure 69, South of Area 1) Do you need authorization inside dashed magenta lines near Corpus Christi?"
394,skipped_duplicate,,Airports & Airspace,Class D,first seen at row 235,"(Refer to FAA-CT-8080-2H, Figure 69, South of Area 1) Do you need authorization inside blue dashed lines at Corpus Christi?"
395,skipped_duplicate,,Airports & Airspace,Class E,first seen at row 236,"(Refer to FAA-CT-8080-2H, Figure 23 South of Area 4) What is the lower altitude limit of Class E at Statesboro Bulloch County Airport?"
396,imported,u3,Airports & Airspace,"Airspace Classifications, Operating Rules",,Refer to figure 21 Area 1. At what altitude above the radio tower south of Minot Intl Airport may you fly?
397,imported,u3,Airports & Airspace,"Airspace Classifications, sectional charts",,"Refer to figure 22. While inspecting the obstacle located 3 miles northwest of Coeur D'Alene-Boyington Airport, what is the highest altitude"
398,skipped_duplicate,,Airports & Airspace,Airport Classificatons,first seen at row 113,"When a control tower located on an airport within Class D airspace ceases operation for the day, what happens to the airspace designation?"
399,skipped_duplicate,,Airports & Airspace,Airport Classificatons,first seen at row 124,Which airspace types require authorization before flying under Part 107?
400,imported,u3,Airports & Airspace,Controlled vs Non controlled Airspace,,"(Refer to Figure 22, Area 1) The floor of the controlled airspace overlying the Sandpoint Airport is:"
401,imported,u3,Airports & Airspace,Controlled vs Non controlled Airspace,,"(Refer to Figure 25, Area 5) What is the elevation range of the Class B airspace?"
402,imported,u3,Airports & Airspace,Controlled vs Non controlled Airspace,,"(Refer to Figure 26, area 4) You have been hired to inspect the tower under construction at 46.90N and 98.55W, near Jamestown Regional (JMS)"
403,imported,u3,Airports & Airspace,Controlled vs Non controlled Airspace,,(Refer to figure 78) You have been hired to use your sUAS to inspected the railroad tracks from Blencoe (SE of Sioux City) to Onawa. Will AT
404,imported,u3,Airports & Airspace,Class D,,"(Refer to figure 24, Northeast of area 1) What is the ceiling of Class D Airspace surrounding Majors (GVT) airport?"
405,imported,u3,Airports & Airspace,"airspace classifications, Prohibited areas",,An sUAS can fly in a prohibited area because there is no one inside it.
406,imported,u2,Airports & Airspace,Aeronautical Charts,,An sUAS operator will not be able to determine what type of airspace they are operating in by using a sectional chart.
407,skipped_duplicate,,Airports & Airspace,"airspace classifications, MOA",first seen at row 162,"Before flying in a military operations area, an sUAS operator should do what to find out if it is active?"
409,skipped_marker,,,,,Special Use end of section Questions
410,imported,u3,Airports Classification,Special Use,,"Which special use airspace contains hazards such as artillery firing, aerial gunnery, or guided missiles?"
411,imported,u3,Airports Classification,Special Use,,Warning Areas differ from Restricted Areas because they are located:
412,imported,u3,Airports Classification,Special Use,,Warning Areas begin how far from the U.S. coastline?
413,imported,u3,Airports Classification,Special Use,,The primary purpose of a Military Operations Area (MOA) is to:
414,imported,u3,Airports Classification,Special Use,,Alert Areas are established because they may contain:
415,imported,u3,Airports Classification,Special Use,,Controlled Firing Areas (CFAs) are typically not shown on sectional charts because:
417,skipped_marker,,,,,Other Airspace end of section questions
418,imported,u3,Airports Classification,Other Airspace,,Military Training Routes (MTRs) allow military aircraft to:
419,imported,u3,Airports Classification,Other Airspace,,An MTR identified as VR-1007 is:
420,imported,u3,Airports Classification,Other Airspace,,Temporary Flight Restrictions (TFRs) are issued through:
421,imported,u3,Airports Classification,Other Airspace,,Which activity may result in the establishment of a TFR?
422,imported,u3,Airports Classification,Other Airspace,,A Terminal Radar Service Area (TRSA) is established to:
423,imported,u3,Airports Classification,Other Airspace,,National Security Areas (NSAs) are established where:
424,imported,u3,Airports Classification,Other Airspace,,Air Defense Identification Zone (ADIZ) boundaries are shown on sectional charts as:
426,skipped_marker,,,,,Airport Operations end of Section Questions
427,imported,u4,Airports & Airspace,"Airport Operations, Runways",,Why is it important for sUAS operators to understand airport runway layouts?
428,imported,u4,Airports & Airspace,"Airport Operations, wildlife",,Why should sUAS operators avoid flying near birds?
429,imported,u4,Airports & Airspace,"Airport Operations, wildlife",,Are sUAS operators required to report bird strikes?
430,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,What is the minimum altitude a pilot should reach before turning crosswind?
431,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,What is the standard direction for traffic patterns in the U.S.?
432,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,At what angle should a pilot enter the traffic pattern?
433,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,What does the “L” in Runway 04L indicate?
434,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,When should a pilot begin the turn to final approach?
435,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,Why are aircraft most vulnerable during arrival and departure?
436,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,What is the typical traffic pattern altitude for propeller-driven aircraft?
437,imported,u4,Airports & Airspace,"Airport Operations, Runways",,How are runway numbers determined?
438,imported,u4,Airports & Airspace,Airport Operations,,What regulation governs access to SIDA areas?
439,imported,u4,Airports & Airspace,Airport Operations,,What is a SIDA area at an airport?
440,imported,u4,Airports & Airspace,Airport Operations,,What is the primary purpose of a Reliever Airport?
441,skipped_duplicate,,Airports & airspace,towed Airports,first seen at row 352,Towered airports have
442,imported,u4,Airports & Airspace,Airport Operations,,What type of airport is NOT open to the general public?
444,skipped_marker,,,,,Runways End of Section Questions
445,skipped_duplicate,,Airports & Airspace,general,first seen at row 167,An aircraft announces they are on the short final of a RWY 36. Where is the aircraft in relation to the airport?
446,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,While monitoring the Barnes CTAF you hear an aircraft announce that they are midfield left downwind to RWY 11. Where would the aircraft be r
447,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,While monitoring the Coventon CTAF you hear an aircraft announce that they are midfield left downwind to RWY 27. Where would the aircraft be
448,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,While monitoring the CTAF you hear an aircraft announce that they are midfield left downwind to RWY 14. What is the heading of the aircraft?
449,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,While monitoring the CTAF you hear an aircraft announce that they are midfield left downwind to RWY 24. What is the heading of the aircraft?
450,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,While monitoring the Pittsburg CTAF you hear an aircraft announce that they are midfield left downwind to RWY 4. Where would the aircraft be
451,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,"The standard airport traffic pattern is to the what, unless otherwise noted."
452,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,Runway numbers are based on the
453,imported,u4,Operations,Airport Operations,,Why should unmanned operators be familiar with airport traffic patterns?
455,skipped_marker,,,,,End of Unit Test Airports and Airspace Classifications
456,imported,u2,Airports & Airspace,"Overview, L &L",,"(Refer to FAA-CT-800-2H, Figure 21). What is the airport located approximately 47 degrees 40 minutes N latitude and 101 degrees 26 minutes w"
457,skipped_duplicate,,Airports & Airspace,Controlled vs Non controlled Airspace,first seen at row 7,"(Refer to FAA-CT-8080-2H, Figure 20 Area 1) The Fentress NALF Airport (NFE) is in what type of airspace?"
458,skipped_duplicate,,Airports & Airspace,"airspace classifications, Prohibited areas",first seen at row 405,An sUAS can fly in a prohibited area because there is no one inside it.
459,imported,u2,Airports & Airspace,Aeronautical Charts,,An sUAS operator can find out if they are operating near an airport and basic information about that airport by using a sectional chart.
460,imported,u3,Airports & Airspace,"Airspace Classifications,",,An sUAS operator does not need prior authorization to fly in which airspace?
461,skipped_duplicate,,Airports & Airspace,Aeronautical Charts,first seen at row 406,An sUAS operator will not be able to determine what type of airspace they are operating in by using a sectional chart.
462,skipped_duplicate,,Airports & Airspace,"airspace classifications, MOA",first seen at row 162,"Before flying in a military operations area, an sUAS operator should do what to find out if it is active?"
463,skipped_duplicate,,Airports & Airspace,Aeronautical Charts,first seen at row 163,How often are sectional charts covering the continental U.S. updated?
464,imported,u2,Airports & Airspace,"Overview, L &L",,Lines of latitude
465,imported,u2,Airports & Airspace,"Overview, L &L",,Lines of longitude run from the North Pole to the South Pole.
466,needs_review,,Airports & Airspace,"airspace classifications, Restricted areas","answer=B, choices=1","Refer to FAA-CT-8080-2H, Figure 75 area 6. During preflight planning you plan to operate in R-2305, where would you find additional info reg"
467,skipped_duplicate,,Airports & Airspace,"Airport Operations, Traffic Patterns",first seen at row 452,Runway numbers are based on the
468,imported,u2,Airports & Airspace,"Overview, L &L",,The Prime Meridian runs through
469,skipped_duplicate,,Airports & Airspace,"Airport Operations, Traffic Patterns",first seen at row 451,"The standard airport traffic pattern is to the what, unless otherwise noted."
470,imported,u2,Airports & Airspace,Aeronautical Charts,,What is the scale on the terminal area chart?
471,imported,u3,Airports & Airspace,"airspace classifications, Other Airspace Areas",,"When a temporary flight restriction is issued over a disaster area, it is still ok to fly your sUAS if you are trying to help."
472,imported,u4,Airports & Airspace,Airport Operations,,Which airport type is the largest group in the United States?
473,skipped_duplicate,,Airports & Airspace,"Airspace Classifications,",first seen at row 382,Which of the following is NOT a consideration of airspace classification?
474,skipped_duplicate,,Airports & Airspace,Airports data sources,first seen at row 165,Which of the following is not a source of airport data?
475,imported,u4,Airports & Airspace,"Airport Operations, Traffic Patterns",,While monitoring CTAF you hear an aircraft announce they where midfield left downwind to RWY 13. Where is the aircraft relative to the runwa
476,skipped_duplicate,,Airports & Airspace,Controlled vs Non controlled Airspace,first seen at row 383,You have been hired to inspect a railroad near Cocolalla. (Refer to figure 22 south of area 1) Do you need approval from ATC?
477,imported,u2,Airports & Airspace,,,"A hobbyist sUAS operator does not need to notify a non-towered, general aviation, private airport that they are flying nearby within 5 miles"
479,skipped_marker,,,,,5 -WEATHER End of Section Questions
480,imported,u5,Weather,"Sources, Metar",,A METAR is a surface weather observation report.
481,skipped_duplicate,,weather,"Sources, Metar",first seen at row 2,"(Refer to FAA-CT-8080-2H, Figure 12.) The wind direction and velocity at KJFK is from"
482,skipped_duplicate,,Weather,"Sources, Metar",first seen at row 3,"(Refer to FAA-CT-8080-2H, Figure 12.) What are the current conditions for Chicago Midway Airport (KMDW)?"
483,skipped_duplicate,,weather,"Sources, Metar",first seen at row 4,"(Refer to FAA-CT-8080-2H, Figure 12.) Which stations are reporting weather that would prohibit UAS operations?"
484,imported,u5,Weather,"Sources, Metar",,A METAR is usually updated
485,skipped_duplicate,,weather,"Sources, Metar",first seen at row 111,What type of report provides real-time weather observations?
486,imported,u5,Weather,METAR,,A METAR does not contain information related to which of the following:
487,skipped_duplicate,,Weather,"Sources, Metar",first seen at row 3,"(Refer to FAA-CT-8080-2H, Figure 12.) What are the current conditions for Chicago Midway Airport (KMDW)?"
488,imported,u5,Weather,"Sources, TAF",,A TAF report has winds at 16010KT. What does this mean?
489,skipped_marker,,,,,TAF Weather End of Section Questions
490,imported,u5,Weather,"sources, TAF",,A TEMPO is:
491,imported,u5,Weather,"sources, TAF",,"(Refer to Figure 15,  FAA-CT-8080-2H)  The forecast ceiling at KMEM from 1200Z to 1220Z is:"
492,imported,u5,Weather,"sources, TAF",,"(Refer to Figure 15,  FAA-CT-8080-2H)  What is the expected wind direction and speed at KMEM from 1222Z onward?"
493,imported,u5,Weather,"sources, TAF",,"(Refer to Figure 15,  FAA-CT-8080-2H)  What is the forecast ceiling for KMEM from 1220Z to 1222Z?"
494,imported,u5,Weather,"sources, TAF",,"(Refer to Figure 15,  FAA-CT-8080-2H)  What is the forecast wind direction and speed at KMEM from 1202Z to 1205Z?"
495,imported,u5,Weather,"sources, TAF",,"(Refer to Figure 15,  FAA-CT-8080-2H)  When is fog expected to occur according to the TAF?"
496,skipped_duplicate,,Weather,"sources, TAF",first seen at row 173,"(Refer to Figure 15,  FAA-CT-8080-2H) According to the TAF, what type of weather is expected from 1220Z to 1222Z?"
497,imported,u5,Weather,"sources, TAF",,"(Refer to Figure 15,  FAA-CT-8080-2H) What is the forecast visibility for KMEM at the beginning of the TAF period (1218Z)?"
498,imported,u5,Weather,"sources, TAF",,"(Refer to figure 15,  FAA-CT-8080-2H)  During the period 0600Z to 0606Z, what is the probability of thunderstorms?"
499,skipped_duplicate,,Weather,"sources, TAF",first seen at row 174,"(Refer to figure 15,  FAA-CT-8080-2H)  What does ""BECMG 0522/0524 20013G20KT"" indicate?"
500,skipped_duplicate,,Weather,"sources, TAF",first seen at row 175,"(Refer to figure 15,  FAA-CT-8080-2H)  What does ""P6SM SCT040"" mean in the forecast starting at 0608Z?"
501,imported,u5,Weather,"sources, TAF",,"(Refer to figure 15,  FAA-CT-8080-2H)  What visibility is expected during the ""TEMPO 0513/0516"" period?"
502,imported,u5,Weather,"sources, TAF",,"(Refer to figure 15,  FAA-CT-8080-2H) What is the forecasted ceiling at 051200Z?"
503,imported,u5,Weather,"sources, TAF",,"(Refer to figure 15,  FAA-CT-8080-2H) What weather phenomenon is associated with ""OVC008CB""?"
504,imported,u5,Weather,"sources, TAF",,"(Refer to figure 15, FAA-CT-8080-2H)  At what time does the visibility improve to greater than 6 statute miles?"
505,imported,u5,Weather,"sources, TAF",,"(Refer to figure 15, FAA-CT-8080-2H) What is the wind forecast for 0608Z?"
506,skipped_duplicate,,weather,"Sources, TAF",first seen at row 5,"(Refer to FAA-CT-8080-2H, Figure 15.) What is the valid period for the TAF for KMEM?"
507,skipped_duplicate,,Weather,"sources, TAF",first seen at row 41,A TAF is for how many hours or what period of time?
508,imported,u5,Weather,"sources, TAF",,A TAF is updated
510,skipped_marker,,,,,Loading and Performance End of Section Questions
511,imported_inferred,u7,Additional Topics,,,An aircraft can stall at any airspeed.
512,needs_review,,Loading & Performance,loading and performance,"answer=D, choices=3",An aircraft that weighs 100 lbs and is subjected to 3 Gs will feel as if it weighs:
513,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 204,"For commercial off‑the‑shelf aircraft with fixed, manufacturer‑approved payloads, which loading action is typically not required prior to fl"
514,imported,u7,Loading & Performance,loading and performance,,"If the center of gravity (CG) is forward of the center of pressure (CP), the aircraft will:"
515,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 157,What happens to the stalling speed of an aircraft as the load factor increases?
